tweet,label,hate_words,emojis
RT @dirathedoll: I love a young lady thats not afraid to have a new nigga. Posting and all. Like yes baby SWITCH EM OUT!,1,['nigga.'],[]
RT @XAVIAERD: A BLACK WOMAN was beaten up by a BLACK TRANS WOMAN  then murdered by a group of her BLACK FRIENDS while on vacation with them…,0,[],[]
RT @RubiRose: I be so shy and embarrassed when a nigga try to lift me up. I feel like I’m big af and heavy,1,['nigga'],[]
RT @HurcanNovas: Don't be angry  don't be angry🍆nudes belle delphine leaked leak charli damelio tiktok room #苏州 #线下 💗💗💗😍😍😍🌹🌹🌹😘😘 https…,0,[],"['🍆', '💗💗💗😍😍😍🌹🌹🌹😘😘']"
RT @KarlousM: Plot twist: “Hoes make the best housewives.”-a nigga older than me.,1,['nigga'],[]
RT @TasteOfNiy: everything free when you fw the right nigga 🤣 don’t let det go over y’all head,1,['nigga'],[]
Imagine being a bitch who don’t clean up and your nigga invite other bitches over 💀💀💀💀,1,"['bitch', 'nigga', 'bitches']",['💀💀💀💀']
RT @fineassnayyyy: If a nigga not my safe place he not my nigga.,1,"['nigga', 'nigga.']",[]
y’all b so dedicated I ain’t going thru hell &amp; back w no nigga I’m too young I’ll get another one 😭😭😭😭,1,"['hell', 'nigga']",['😭😭😭😭']
RT @RubiRose: I be so shy and embarrassed when a nigga try to lift me up. I feel like I’m big af and heavy,1,['nigga'],[]
RT @Richdollarz__: Me and my homies will nickname a mf so fast “ the nigga wit the bs ass babymom” 😂😂,1,"['nigga', 'ass']",['😂😂']
@therealfaexfae @AliiAaliyah Giving Free OF to first 15 babes to RT + comment on my pinned post on my page. Share f… https://t.co/9exXZ6zuyG,0,[],[]
RT @YourBudTevin: If Chris Brown taught me anything this nigga ain’t making it out the parking lot,1,['nigga'],[]
RT @SarahMi61698453: Don't be angry  don't be angry🍆nudes belle delphine leaked leak charli damelio tiktok room #杭州 #杭州线下💗💗💗😍😍😍🌹🌹🌹😘😘…,0,[],"['🍆', '💗💗💗😍😍😍🌹🌹🌹😘😘']"
I need a nigga on the same type as time as me …all that other shii lame played out,1,['nigga'],[]
Boy I looked at the date . Nigga I’m almost 30🧐,1,['Nigga'],[]
RT @notrgulr: wish i could be my own nigga i’d know exactly what to do,1,['nigga'],[]
RT @YourBudTevin: If Chris Brown taught me anything this nigga ain’t making it out the parking lot,1,['nigga'],[]
RT @TasteOfNiy: everything free when you fw the right nigga 🤣 don’t let det go over y’all head,1,['nigga'],[]
jus seen prolly one of the ugliest nigga on snapchat,1,['nigga'],[]
RT @thejaylamora: I’ve made a nigga wait months to have sex &amp; I’ve also had sex on the first link 😂😭nun of that shit matters tbh they gon d…,1,"['nigga', 'sex', 'sex', 'shit']",['😂😭']
@julianaxferrara Giving Free OF to first 15 hunnies to RT + comment on my pinned post on my profile. Sub for a surp… https://t.co/RQ8u7TyZZd,0,[],[]
I’m a youtube nigga anyway,1,['nigga'],[]
RT @MehganJames: A nigga will fk with you on and off for life if you let him 😩,1,['nigga'],['😩']
RT @HurcanNovas: Don't be angry  don't be angry🍆nudes belle delphine leaked leak charli damelio tiktok room #苏州 #线下 💗💗💗😍😍😍🌹🌹🌹😘😘 https…,0,[],"['🍆', '💗💗💗😍😍😍🌹🌹🌹😘😘']"
